cpa,yr_id,name,population,,,
La Jolla,2020,55 to 59,2187,,,
La Jolla,2020,60 and 61,892,,,
La Jolla,2020,62 to 64,1295,,,
La Jolla,2020,65 to 69,2090,,,
La Jolla,2020,70 to 74,2146,,,
La Jolla,2020,75 to 79,1928,,,
La Jolla,2020,80 to 84,1423,,,
La Jolla,2020,85 and Older,1733,,,
Lakeside,2020,Under 5,4445,,,
Lakeside,2020,5 to 9,5115,,,
Lakeside,2020,10 to 14,5386,,,
Lakeside,2020,15 to 17,3036,,,
Lakeside,2020,18 and 19,1794,,,
Lakeside,2020,20 to 24,4520,,,
Lakeside,2020,25 to 29,4831,,,
Lakeside,2020,30 to 34,5337,,,
Lakeside,2020,35 to 39,5389,,,
Lakeside,2020,40 to 44,4556,,,
Lakeside,2020,45 to 49,4535,,,
Lakeside,2020,50 to 54,4900,,,
Lakeside,2020,55 to 59,5699,,,
Lakeside,2020,60 and 61,2247,,,
Lakeside,2020,62 to 64,3171,,,
Lakeside,2020,65 to 69,4543,,,
Lakeside,2020,70 to 74,3574,,,
Lakeside,2020,75 to 79,2101,,,
Lakeside,2020,80 to 84,1311,,,
Lakeside,2020,85 and Older,1275,,,
Linda Vista,2020,Under 5,1652,,,
Linda Vista,2020,5 to 9,1554,,,
Linda Vista,2020,10 to 14,1562,,,
Linda Vista,2020,15 to 17,925,,,
Linda Vista,2020,18 and 19,1686,,,
Linda Vista,2020,20 to 24,5242,,,
Linda Vista,2020,25 to 29,4146,,,
Linda Vista,2020,30 to 34,3251,,,
Linda Vista,2020,35 to 39,2897,,,
Linda Vista,2020,40 to 44,2037,,,
Linda Vista,2020,45 to 49,1703,,,
Linda Vista,2020,50 to 54,1677,,,
Linda Vista,2020,55 to 59,1642,,,
Linda Vista,2020,60 and 61,711,,,
Linda Vista,2020,62 to 64,885,,,
Linda Vista,2020,65 to 69,1317,,,
Linda Vista,2020,70 to 74,1009,,,
Linda Vista,2020,75 to 79,681,,,
Linda Vista,2020,80 to 84,468,,,
Linda Vista,2020,85 and Older,466,,,
Lindbergh Field,2020,Under 5,1,,,
Lindbergh Field,2020,5 to 9,2,,,
Lindbergh Field,2020,10 to 14,1,,,
Lindbergh Field,2020,15 to 17,2,,,
Lindbergh Field,2020,18 and 19,5,,,
Lindbergh Field,2020,20 to 24,20,,,
Lindbergh Field,2020,25 to 29,8,,,
Lindbergh Field,2020,30 to 34,6,,,
Lindbergh Field,2020,35 to 39,1,,,
Lindbergh Field,2020,40 to 44,2,,,
Lindbergh Field,2020,45 to 49,5,,,
Lindbergh Field,2020,50 to 54,15,,,
Lindbergh Field,2020,55 to 59,9,,,
Lindbergh Field,2020,60 and 61,7,,,
Lindbergh Field,2020,62 to 64,0,,,
Lindbergh Field,2020,65 to 69,7,,,
Lindbergh Field,2020,70 to 74,10,,,
Lindbergh Field,2020,75 to 79,0,,,
Lindbergh Field,2020,80 to 84,2,,,
Lindbergh Field,2020,85 and Older,6,,,
Los Peñasquitos Canyon Preserve,2020,Under 5,0,,,
